Title,kinopoiskId,imdbId,Year,Rating Kinopoisk,Rating Imdb,Age Limit,Genres,Country,Director,Budget $,Fees $,Description Kinopoisk,Description Imdb
Реальная любовь,6144,tt0314331,2003.0,8.0,7.5,18+,"драма, мелодрама, комедия","США, Франция, Великобритания",Richard Curtis,40000000.0,250779876.0,"Любовь поистине правит всеми вокруг — от премьер-министра, влюбившегося в сотрудницу своего аппарата, до писателя, сбежавшего на юг Франции, чтобы склеить свое разбитое сердце.","Follows the lives of eight very different couples in dealing with their love lives in various loosely interrelated tales all set during a frantic month before Christmas in London, England."
Заклятие,468994,tt1457767,2013.0,7.3,7.5,18+,"детектив, ужасы",США,James Wan,20000000.0,320422209.0,"Эд и Лоррейн Уоррены — детективы, которые расследуют паранормальные дела. Однажды к ним обращается семья, страдающая от злого духа. Уоррены, вынужденные сражаться с могущественной демонической сущностью, сталкиваются с самым пугающим случаем в своей жизни.",Paranormal investigators Ed and Lorraine Warren work to help a family terrorized by a dark presence in their farmhouse.
Чудо,722951,tt2543472,2017.0,8.2,7.9,12+,"драма, семейный","США, Гонконг, Канада",Stephen Chbosky,20000000.0,315025930.0,"С одной стороны 10-летний Август Пулман такой же как и другие мальчишки его возраста — любит ходить на дни рождения к друзьям, играть в компьютерные игры и фанатеет от «Звездных войн». А с другой — он совсем не такой. Август никогда не ходил в обычную школу — с первого класса с ним дома занималась мама. Также мальчик перенес 27 операций. Из-за генетической аномалии у Августа деформировано лицо, и он идёт в школу первый раз.","Based on the New York Times bestseller, this movie tells the incredibly inspiring and heartwarming story of August Pullman, a boy with facial differences who enters the fifth grade, attending a mainstream elementary school for the first time."
Такси,14349,tt0152930,1998.0,8.0,7.0,18+,"криминал, боевик, комедия",Франция,Gérard Pirès,53000000.0,0.0,"Таксист Даниэль помешан на быстрой езде. Как ураган проносится он по извилистым улицам Марселя на мощном ревущем «Пежо», пугая прохожих и приводя в ужас пассажиров. Начинающий следователь Эмильен вынуждает его помогать в поимке банды грабителей банков, каждый раз ускользающих от полиции на неуловимых «Мерседесах».","To work off his tarnished driving record, a hip taxi driver must chauffeur a loser police inspector on the trail of German bank robbers."
Диспетчер,5435407,tt11539996,2024.0,7.2,7.0,18+,"триллер, боевик",США,David Mackenzie,0.0,4247491.0,"Брокер, занимающийся выгодными сделками между коррумпированными корпорациями и людьми, которые им угрожают, нарушает свои собственные правила, когда новый клиент обращается к нему за защитой, чтобы остаться в живых.",A broker of lucrative payoffs between corrupt corporations and the individuals who threaten them breaks his own rules when a new client seeks his protection to stay alive.
Папины дочки. Новые,5249042,tt28751684,2023.0,8.3,5.2,12+,комедия,Россия,Filipp Blednyy,0.0,0.0,"Проклятие Васнецовых настигает уже повзрослевших дочерей семейного психотерапевта. В канун очередной годовщины свадьбы из дома сбегает Даша, оставив трудоголику Венику прощальное письмо, обручальное кольцо и четырёх дочерей. Теперь Вениамин, совсем как его тесть когда-то, вынужден стать для своих детей и папой, и мамой, и другом. А поможет ему в этом неунывающее семейство Васнецовых.","Workaholic psychotherapist Veniamin is left to raise four daughters alone when his wife Dasha abruptly leaves. With help from resilient in-laws, he navigates fatherhood, friendship, and single parenthood."
Детство Шелдона,1040419,tt6226232,2017.0,8.7,7.7,18+,комедия,США,Chuck Lorre,0.0,0.0,"История о непростом детстве вундеркинда Шелдона Купера. Родители юного гения не разделяют увлечения сына наукой: его мать очень религиозна, а отец, бывший футбольный тренер, предпочитает проводить вечера в компании пива и телевизора. Со сверстниками тоже не ладится, ведь Шелдона куда больше детских игрушек интересует, где можно взять обогащённый уран для научных экспериментов.","Meet a child genius named Sheldon Cooper (already seen as an adult in Теория большого взрыва (2007)) and his family. Some unique challenges face Sheldon, who is socially impaired."
Брестская крепость,436263,tt1343703,2010.0,8.1,7.4,18+,"драма, боевик, военный, история","Россия, Беларусь",Aleksandr Kott,0.0,4569604.0,"История о героической обороне Брестской крепости, которая приняла на себя первый удар немецко-фашистских захватчиков 22 июня 1941 года. Рассказ о трёх главных очагах сопротивления, возглавляемых командиром полка Петром Гавриловым, комиссаром Ефимом Фоминым и начальником 9-й погранзаставы Андреем Кижеватовым.","A war drama set during the Nazi invasion of the Soviet Union in June 1941, in which Soviet troops held on to a border stronghold for nine days."
Ковбои против пришельцев,81961,tt0409847,2011.0,5.9,6.0,12+,"триллер, драма, фантастика, вестерн, боевик","США, Индия",Jon Favreau,163000000.0,174822325.0,"1873, Абсолюшен, штат Аризона. В эту глухую американскую провинцию прибывает потерявший память незнакомец. Единственный намёк на его прошлое - это странные кандалы на одном из его запястий. Странник быстро узнаёт, что жители городка не рады незнакомцам и вообще выходят на улицы лишь по приказу полковника Долархайда, правящего в этой местности железной рукой. Этому есть объяснение: город терроризируют жуткие существа. Герой постепенно вспоминает себя и понимает, что помочь несчастным только в его силах.","A spaceship arrives in 1873 Arizona to take over the Earth, starting with the Wild West region. All that stands in their way: a posse of cowboys and natives."
Отель Мумбаи: Противостояние,958519,tt5461944,2018.0,8.0,7.6,18+,"триллер, драма, боевик, история","США, Австралия",Anthony Maras,17300000.0,21315827.0,"Мумбаи, 2008 год. Роскошный отель «Тадж-Махал Палас» — гарантия безопасности. К каждому гостю здесь относятся как к богу и требования к персоналу предъявляют самые высокие, но в тот день сотрудникам отеля пришлось особенно тяжело. Город подвергается многочисленным террористическим атакам, и когда вооруженные люди захватывают «Тадж-Махал», расстреливая всех встречных, оказавшимся в ловушке гостям и персоналу придётся пережить настоящий кошмар.",The true story of the Taj Hotel terrorist attack in Mumbai. Hotel staff risk their lives to keep everyone safe as people make unthinkable sacrifices to protect themselves and their families.
